종목코드,회사명,업종,기업개요,시가총액,마켓타입
034230,파라다이스,유원지 및 기타 오락관련 서비스업,"동사는 1972년 4월 27일 설립되었으며, 2002년 11월 5일자로 코스닥시장에 상장되어 코스닥시장에서 매매거래가 개시됨. 동사는 4개의 외국인전용 카지노 사업장을 운영하고 있으며, 연결기준 카지노 부문에는 서울, 부산, 제주 카지노가 포함됨. 복합리조트 부문에서는 인천 영종도의 '파라다이스시티' 리조트가 속해 있으며, 이 안에는 카지노, 호텔, 기타 엔터테인먼트 시설이 있음.",8709,KOSPI
005690,파미셀,기초 의약물질 제조업,"1968년 설립되어 1988년 상장. 줄기세포 치료제 등 의 제조 및 판매, 연구개발 등을 위한 바이오사업과 친환경 난연제를 주요 사업으로 영위. 세계 최초로 줄기세포치료제를 개발한 바이오 제약 전문기업이며, 바이오사업부, 바이오케미컬사업부 등 2개의 사업부를 두고 있음. 컨소시엄 구성, 공동 연구 등 대기업과 연계한 지속적인 연구개발을 통해 신소재 제품 개발을 계속하고 있으며, 이를 통해 새로운 매출을 계속 발굴 중에 있음.",2863,KOSPI
003670,포스코퓨처엠,일차전지 및 이차전지 제조업,"동사는 국내 유일 음/양극재 소재를 동시 생산 및 납품하는 이차전지 소재사임. 이차전지 사업은 IT기기의 성장과 친환경, 각국의 에너지절감 정책에 따른 EV, ESS시장의 확대로 지속적인 성장이 예상됨. 이차전지소재 분야에서 포스코 그룹의 리튬, 니켈 등 원료, 이차전지소재연구센터 등 R&D 인프라, 글로벌 마케팅 네트워크를 연계해 사업경쟁력을 높여 나가고 있음.",133547,KOSPI
950210,프레스티지바이오파마,자연과학 및 공학 연구개발업,"동사는 2015년 싱가포르에 설립된 이래 항체의약품 개발 전문 제약회사로서 바이오시밀러와 항체 신약 개발에 집중해왔으며 2021년 2월 5일자로 한국 유가증권시장에 상장. 백신사업의 첫 시작으로 코로나19 백신의 위탁생산 컨소시엄에 참여함. 원료의약품 및 완제의약품 CMO업체가 원자재 매입부터 생산, 보관, 최종 포장, 그리고 글로벌 파트너사의 물류창고 배송까지 담당.",9453,KOSPI
352820,하이브,오디오물 출판 및 원판 녹음업,"2005년 2월 1일 더빅히트엔터테인먼트로 설립되었으며, 2020년 10월 15일자로 유가증권시장에 주식을 상장함. 설립 초기 발라드 가수를 중심으로 아티스트 라인업을 형성하였으나, 2013년 방탄소년단 데뷔 이후 아이돌 그룹을 중심으로 아티스트 라인업을 개편함. 2019년 쏘스뮤직, 2020년 플레디스엔터테인먼트 등의 지분인수 및 신규 레이블 설립를 통해 본격적인 멀티레이블 체제를 구축함.",88094,KOSPI
002200,한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업","동사는 골판지 원지 및 골판지 상자 제조업 등을 영위할 목적으로 1957년 11월 21일에 설립 되었으며, 1974년 6월 8일 유가증권 거래소시장에 상장함. 현재 골판지상자 공장인 안성과 양산, 대전공장에서 상자와 원단, 부속 등을 공급하고 있음. 계열회사 한수팩은 골판지 상자 및 부속품을 생산하는 지함 업체로 동사에서 골판지 원단을 전량 구입하여 골판지 상자를 제조 후 수요자에게 공급함.",1054,KOSPI
015760,한국전력공사,전기업,"현재 국내 전력 산업의 체계는 전력생산, 수송, 판매 체계로 이뤄지고 있으며, 동사는 발전자회사와 민간발전회사, 구역전기사업자가 생산한 전력을 전력거래소에서 구입하여 일반 고객에게 판매함. 전기판매부문 사업에서는 구역전기사업자 판매지역을 제외하고 국내 전역에 소비되는 전력량의 대부분을 판매함. 원자력발전사업부문, 화력발전사업부문에서 생산된 전기는 전력거래소를 통해 한국전력공사에 판매됨.",151504,KOSPI
011500,한농화성,기타 화학제품 제조업,"동사 제품은 사업부문별로 GE(Glycol Ethers), EOA(Ethylene Oxide Additives), EM(Emulsifier)으로 나뉨. GE는 EO(Ethylene Oxide), PO(Propylene Oxide)등을 주원료로 알콜류와 반응시켜 산업용 용제를 생산. EOA는 알콜, 지방산, 아민, EO, PO 등을 주원료로 사용하여 여러 특성을 지닌 유도체를 생산하는 사업임.",2342,KOSPI
014680,한솔케미칼,기초 화학물질 제조업,"동사는 정밀화학 제품으로 반도체, 디스플레이, 제지 및 섬유에 사용되는 과산화수소, 섬유에 사용되는 차아황산소다, Polymer 합성시 중합개시제로 주로 사용되는 BPO를 생산하고 있음. 또한 제지/환경제품으로 제지산업에서 부재료로 사용되는 라텍스외 제지약품, 폐수처리 등에 사용되는 고분자응집제 등을 생산함. 주요 매출처로는 삼영순화, 한솔제지, 삼성디스플레이 등이 있음.",12072,KOSPI
004710,한솔테크닉스,전자부품 제조업,"동사는 1988년 7월 6일 주식을 증권거래소에 상장하였고 2010년 12월 지배기업의 상호를 한솔LCD주식회사에서 한솔테크닉스로 변경함. LCD TV의 핵심부품인 파워모듈, BLU 및  LED Chip을 제조하기 위한 LED 웨이퍼, 태양광 발전 모듈, 휴대폰과 부품을 생산함. 동사의 휴대폰 사업은 스마트폰과 테블릿 제품을 주품목으로 생산하여 고객에게 납품하고 있음.",1286,KOSPI
300720,한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","한일홀딩스주식회사에서 2018년 7월 1일 인적분할하여 설립됨. 시멘트, 레미탈, 레미콘의 제조 및 판매를 주요 사업으로 영위하며, 단양에 위치한 시멘트 제조공장을 비롯하여 그 2차 제품인 레미탈 및 레미콘 제조공장을 운영함. 주요 거래처는 국내 건설사 등임. 동사의 연결대상 종속회사들이 영위하는 주요 사업으로 한일현대시멘트㈜는 시멘트 제조 및 판매업, 한일개발㈜은 건설업 등이 있음.",9586,KOSPI
051600,한전KPS,전기 및 통신 공사업,"1984년 4월 한국전력공사의 전액 출자로 설립된 발전설비정비 전문회사로 전력설비정비(화력, 원자력/양수, 송변전, 대외, 해외)와 관련된 기술개발 및 신재생에너지 사업 수행. 64개의 국내사업소, 11개의 해외사업소 및 지사를 운영중. 1997년 이후 독점적 국내 정비의존도 분산차원에서 발전회사 주관으로 화력부문 민간정비업체 육성중. 풍부한 정비데이터와 전문정비조직 및 인력을 확보하여 정비판매시장에서 유리한 판매조건을 선점중임.",20385,KOSPI
009460,한창제지,"펄프, 종이 및 판지 제조업","동사는 마닐라 판지 및 백판지 제조, 도매를 주요 사업으로 영위하고 있으며, 국내 최초로 ALL-pulp Board 전용 제조 설비를 도입함. 담배포갑지, 산업용 고급포장용지, 인체 무해한 유아출판물, 식품 포장 용지 등을 공급하고 있음. 주요 원자재는 주로 펄프, 폐지, 화약약품류 등이며 펄프는 대부분 수입에 의존하고 있으며, 폐지는 상당부분 국내 조달로 이루어지고 있음.",402,KOSPI
009830,한화솔루션,기초 화학물질 제조업,"회사와 종속기업의 사업은 연결실체의 사업부문별 특성에 따라 기초소재 부문(한화솔루션(주) 케미칼 부문, Hanwha Chemical (Ningbo) Co. Ltd 등)이 있음. 신재생에너지 부문(한화솔루션(주) 큐셀 부문, Hanwha Q CELLS Co.,Ltd, Q Energy 등), 가공소재 부문을 보유함. 리테일부문은 2023년 3월 1일자로 동사에서 인적분할됨.",30253,KOSPI
453340,현대그린푸드,종합 소매업,"사업부문의 인적분할을 통해 2023년 3월 1일 분할기일로 하여 현대그린푸드 설립 완료하였으며, 존속법인은 현대지에프홀딩스로 상호변경함. 지배회사인 주식회사 현대그린푸드 및 그 종속회사는 푸드서비스, 유통, 식재, 기타부문 등으로 구성되어 있음. 식재사업부는 공장/오피스 등의 구내식당의 식재유통부터 비교적 소규모의 영업점 및 중소형 케터링 업체의 식재 공급 및 식품제조회사 등의 생식품 및 가공식품 등을 공급하는 전략을 사용함.",4428,KOSPI
086280,현대글로비스,기타 운송관련 서비스업,"동사는 2001년 현대자동차 그룹의 물류 통합에 따른 효율성 추구를 위하여 설립되었으며, 자동차 전문 물류기업으로 성장하였음. 종합물류업, 유통판매업, 해운업을 영위하고 있으며 유통판매업의 매출비중이 2024년 2분기 기준 47.64%로 가장 높음. 유통판매업은 완제품이 아닌 반제품으로 자동차 부품을 수출하는 사업으로 종합 유통서비스를 제공해 현지 공장의 생산성 향상에 기여하고 있음.",89025,KOSPI
012330,현대모비스,자동차 신품 부품 제조업,"동사는 1977년 6월 설립되었으며, 1989년 9월 5일 한국거래소 유가증권시장에 주식을 상장하였음. 고무용 도료 기술로 출발해 폴리우레탄 수지 및 전자, 자동차, 생명과학 등에 사용되는 다양한 정밀화학제품을 생산 및 판매하는 것을 목적사업으로 함. A/S부품 사업을 영위함. A/S용 부품사업은 부품의 책임공급을 위한 물류센터 등의 대단위 인프라 구축과 250여개차종, 270만여 품목을 관리함.",240392,KOSPI
001500,현대차증권,금융 지원 서비스업,"1955년 신흥증권으로 설립된 동사는 2008년 현대자동차그룹 계열사로 편입되었으며, 2018년에 상호를 현대차증권으로 변경하였음. 당분기말 현재 국내에 15개 지점과 7개 출장소를 운영하고 있음. 현대차그룹 계열사와의 시너지를 바탕으로 IB 및 퇴직연금 부문에서 강점이 있으며, 채권과 PI투자에서도 성과를 내는 등 다변화된 포트폴리오를 보유함. 2019년 11월1일 상환전환우선주로 1천억원 규모의 제3자배정 유상증자 실시하였음.",2743,KOSPI
011760,현대코퍼레이션,상품 종합 도매업,"1976년 설립된 동사는 자동차, 철강, 화학제품 및 플랜트 등의 제품을 수출입하는 종합상사임. 2016년 공정위의 승인으로 현대중공업 기업집단으로부터 계열 분리됨. 철강, 승용부품, 상용에너지, 기계인프라, 석유화학, 기타(자원개발) 등 6개 사업부문으로 구성되어 있으며, 각 사업부문은 수출입업, 삼국간 무역 및 해외자원개발 사업을 영위함. 2015년 10월 브랜드/신사업부문을 인적분할하여 현대코퍼레이션홀딩스를 설립함.",2566,KOSPI
001450,현대해상,보험업,"1955년 3월에 해상보험 전업회사로 보험업에 진출하여, 해상, 화재, 자동차, 장기,연금 및 퇴직보험 등의 손해보험 전 부문에 걸쳐 사업을 영위함. 신용평가기관인 A.M.Best로부터 A(Excellent) 등급, S&P로부터 A-(Stable)의 등급을 부여받고 있음. 동사는 경쟁우위를 점하기 위해 '내 인생의 든든한 시작 현대해상'이라는 비전을 수립하고 4대 전략방향 및 14개 추진과제를 선정하여 추진하고 있음.",25256,KOSPI
003010,혜인,기계장비 및 관련 물품 도매업,"1960년 혜인상사로 설립되었으며, 취급품목은 건설기계, 육상용 발전기, 선박용 엔진/발전기, 물류장비 및 관련한 부품공급과 정비임. 주요 수요처는 건설회사, 건설기계임대사업자, 선박건조업체 등임. 세계적인 건설기계업체인 Caterpillar 및 Jungheinrich사가 제작한 건설기계에 대한 한국내 총판 특약점임. 2018년 미래에너지개발을 청산했으며, 2019년 경쟁력 강화를 위해 전기업을 영위하는 혜인산업을 흡수합병함.",647,KOSPI
000850,화천기공,특수 목적용 기계 제조업,"동사는 1945년 설립 이후 공작기계에 전념하는 화천그룹의 모회사임. 대형 공작기계와 차량 부품을 생산하는 화천기계와 기어, 척 등을 만드는 서암기계, 자동화 설비를 제작하는 TPS Korea와 함께 밸류체인을 구축함. 수치제어 공작기계는 직접 생산 및 수출도 영위. 2021년 ㈜시리우스인베스트먼트를 설립하여 새로운 시장의 개척 및 확보를 위한 노력중에 있음.",576,KOSPI
058820,CMG제약,의약품 제조업,"동사는 2001년 8월 코스닥에 상장하였으며, 2014년 4월 판교 차바이오 컴플렉스 내 R&D 및 Business 인프라를 구축하였음. 세계 최초의 필름형 조현병 치료제인 ""데핍조”(아리피프라졸 ODF)를 미국 FDA에 판매승인 신청하였으나 코로나19로 인하여 예상보다 지연되고 있음. 차바이오텍과 함께 줄기세포치료제, 면역세포치료제 등 다양한 세포치료제 기반 기술을 통한 글로벌 CDMO사업에 참여하고 있음.",2671,KOSDAQ
025440,DH오토웨어,영상 및 음향기기 제조업,"동사는 차량용 음향 및 영상기기 제품을 생산하는 Car Infortainment 전문생산업체임. Car Audio, Digital AMP, 프런트 판넬, Navigation, 복합 AVNC 제품 등 디지털기술과 IT기술이 융합된 복합제품을 국내외 시장에 출시하고 있음. 매출액의 약 90% 이상을 현대모비스와 일본의 Alpine그룹에 납품하고 있으며, 대부분 OEM 제조 판매 중이나 자체 개발한 모델도 판매되고 있음.",362,KOSDAQ
180400,DXVX,기타 과학기술 서비스업,"동사는 바이오헬스케어 전문기업으로 사업을 의료진단, 헬스케어, 신약으로 구분하고있음. 헬스케어 부문은 마이크로바이옴 기반의 질병 예방, 치료를 위한 통합 바이오헬스케어 솔루션을 제공하고 있음. 2022년 건강기능식품 전문제조업체 한국바이오팜을 인수하였으며, 2023년 수출활성화를 위하여 중국현지에 자회사 북경디아이웨이스생물과기유한공사를 설립하였음. 2023년 6월  신약파이프라인을 보유한 신약연구개발 전문업체 에빅스젠을 인수함.",935,KOSDAQ
245620,EDGC,자연과학 및 공학 연구개발업,"동사는 2013년 5월 6일에 설립되었으며, 글로벌 바이오 유전체 빅데이터 기업으로 유전체기반 질병진단 및 개인별 유전적 특징 분석기술을 구현하고 있음. 유후(YouWho), 나이스검사 등 유전체분석과 온코캐치(OncoCatch) 액체생검을 주사업으로 하고 있음. 최근 바이오 신약 연구소 설립하여 유전체 기반 생물 신약 (biologics) 연구 개발에 집중 할 예정임.",575,KOSDAQ
050120,ES큐브,생활용품 도매업,"1977년 6월 20일에 텐트 및 아웃도어 용품을 제조 판매하는 사업으로 설립 되었으며,  2002년 4월 25일 코스닥시장에 상장되었음. 동사는 100% 자회사인 중국 텐트 제조공장에서 생산한 레저 및 기능성 텐트를 일본, 북미, 유럽 등의 세계 빅바이어에게 수출하는 텐트사업을 수행 중임. 텐트사업부문은 O.D.M. 생산방식으로서, 북미 및 일본의 주요 아웃도어 바이어에게 각각의 브랜드로 수출 중임.",240,KOSDAQ
095340,ISC,기계장비 및 관련 물품 도매업,"동사는 2001년 2월, 반도체 및 전자부품 검사장비의 핵심소모부품인 후공정 테스트 소켓 제품 생산을 목적으로 설립되어, 2007년 10월 코스닥에 상장함. 주력사업은 반도체 IC와 IT 디바이스등을 테스트하는 반도체테스트솔루션 사업임. 반도체테스트용 실리콘러버소켓은 글로벌 시장 약 90%를 점유하고 있음. 신 사업으로 mmWave(28GHz) 5G 안테나용 FCCL 제조를 위한 신사업을 추진 중에 있음.",9655,KOSDAQ
458320,KB제26호스팩,금융 지원 서비스업,정보 없음,129,KOSDAQ
044180,KD,건물 건설업,"직접 건축하여 분양하거나, 동 건축물에 대한 수주로 건축을 하고 있으며, '아람채', 'KDU프라자' 와 같은 고유 브랜드를 보유하고 있음. 주택 및 건설과 부동산개발은 아파트/오피스텔/주상복합 등 주택 및 건축분야 등이며, 전자부품은 반도체패키지 기판 검사 사업부문임. 동사는 신규사업으로 해외 자원개발 및 판매를 위한 사업을 준비중이며 해외기업과의 파트너십을 구축할 계획임.",125,KOSDAQ
122450,KX,텔레비전 방송업,"동사는 2000년 10월 설립되어 이후 2003년 자체장비를 확보, 송출사업을 추가한 후 지속적인 성장을 거듭하여 현재 국내 송출사업자 1위 지위를 유지하고 있음. 주요 종속기업으로 케이엑스하이텍, 신라레저, 파주컨트리클럽, 옥산레저 등을 보유하고 있음. 송출서비스 부문에서 안정적인 거래처를 기반으로 높은 시장지배력 확보하고 있으며, 신규채널 확보를 지속하고 있음.",1587,KOSDAQ
078020,LS증권,금융 지원 서비스업,"1999년에 국내 최초의 온라인 증권사로 출범하였으며, 현재는 온라인을 근간으로 하는 종합증권사로서 위탁매매업무, 인수/주선업무, 자기매매업무 등을 영위함. 동사의 최대주주는 LS네트웍스가 지분의 98.8%를 보유하고 있는 지앤에이사모펀드임(LS네트웍스로 최대주주 변경 승인 완료). 6월에 사명을 LS증권으로 변경하면서 LS그룹 편입 절차가 마무리됨. 이와 함께 조직개편을 통해 기업금융(IB) 강화에 힘을 쏟을 예정임.",2241,KOSDAQ
086960,MDS테크,소프트웨어 개발 및 공급업,"동사는 1998년 설립되어 임베디드 시스템 토탈 솔루션 공급 사업을 영위하고 있음. 사업부문은 임베디드 SW 개발솔루션, 임베디드 시스템 SW, 기타부문으로 구성됨. 이 중 임베디드 시스템 SW 부문이 전체 매출 비중의 34.5%를 차지하고 있음. 현재 각 지역에서 내수 위주로 사업을 전개하고 있음. 호주법인, 홍콩법인, 인도법인, 중국법인 등을 설립하여 해외로 진출하고 있음.",900,KOSDAQ
038340,MIT,전자부품 제조업,"동사는 1967년 4월 설립 이래 56년째 커패시터(전해용 커패시터)를 제조 및 판매하고 있으며, 2022년 12월 사명을 (주)무궁화인포메이션테크놀로지(MIT)로 변경. 금융IT솔루션 사업부문의 매출은 국내 은행, 국내 소재 외국계 금융기관, 국내 증권사, 한국거래소, 보험사 등 국내외 금융기관에서 발생함. 커패시터 부문의 미국 진출은 현지 에이전시 Reliable Products LLC와 계약을 체결하여 영업활동 중.",400,KOSDAQ
053290,NE능률,"서적, 잡지 및 기타 인쇄물 출판업","동사는 출판 및 인쇄진흥법, 이러닝 산업 발전법에 근거하여 영어교육 및 출판사업 등을 영위할 목적으로 1994년 6월 28일에 설립되었으며, 2002년 코스닥 시장에 상장. 영유아부터 성인에 이르는 폭넓은 고객을 대상으로 영어교육을 포함해 다양한 교육출판 사업과 교육서비스 사업을 제공하는 종합교육서비스기업임. 베스트셀러 영어학습 교재를 중심으로 영어교육 분야에서 높은 브랜드 인지도를 확보하고 있음.",574,KOSDAQ
019550,SBI인베스트먼트,신탁업 및 집합투자업,"벤처투자 촉진에 관한 법률에 근거하여 중소창업기업에 대한 투자 지원과 벤처투자조합의 결성 등을 영위할 목적으로 1986년 11월 24일에 설립됨. 1989년 9월에 벤처캐피탈 업계 최초로 코스닥시장에 상장되어 코스닥시장에서 매매가 개시함. 벤처캐피탈의 주요 수익원은 조합 운용 보수(수수료)및 투자자산 회수 이익으로 구성되며, 운용조합 규모와 우수한 포트폴리오 보유 여부가 이익에 영향을 줌.",1162,KOSDAQ
036120,SCI평가정보,기타 정보 서비스업,"1992년 설립된 동사는 신용조사업으로 출발해 민간업계 최초로 채권추심업을 허가 받았으며, 이후 신용평가업, 신용조회업 등으로 사업을 넓힘. 동사는 2016년 1월 1일을 분할기일로 해 신용평가 부문을 단순 물적분할했으며, 분할된 종속회사인 서울신용평가는 신용평가업을 영위함. 주요 서비스로는 개인 및 가족ㆍ기업신용정보, 기업정보, 실명확인, 개인정보보호서비스, 상거래채권, 신용조사, 민원용역대행, 아이핀 서비스 등이 있음.",728,KOSDAQ
089230,THE E&M,기타 정보 서비스업,"동사는 2002년 설립되어 1인 미디어(개인방송) 플랫폼 및 매니지먼트 사업을 영위하고 있음. 사업부문은 크게 인터넷 사업부문과 엔터테인먼트 사업부문으로 나뉨. 인터넷 사업부문은 팝콘티비를 필두로 개인 인터넷 방송 플랫폼과 웹, 모바일 서비스 등을 제공하고 있음. 종속회사인 아이씨엔터테인먼트를 통해 1인 미디어 방송자를 지원ㆍ관리하는 MCN사업을, 씨엘엔컴퍼니를 통해서는 연예매니저먼트사업을 영위하고 있음.",229,KOSDAQ
051390,YW,상품 종합 도매업,"동사는 1995년 7월 26일 설립되었으며 주요 사업부문은 도매업 (렌탈물품 공급), 기업금융. 도매사업(렌탈포함)은 기업고객을 대상으로 거래를 진행하며 2015년부터 지속적으로 렌탈품목을 확장하여 PC, 복합기 등 OA기기, 가전제품, 의료기기, 산업장비 등 다양한 품목을 렌탈 중임. 기업금융부문은 신뢰관계가 형성되어 있는 특정기업을 대상으로 동사의 유휴자금을 안전자산에 투자하여 수익창출에 기여하고 있음.",426,KOSDAQ
052220,iMBC,영상·오디오물 제공 서비스업,"동사 주요사업은 MBC그룹 대표 사이트인 www.imbc.com을 기반으로 방송콘텐츠와 자체 제작 콘텐츠 등 디지털콘텐츠의 서비스 및 유통으로 이루어져 있음. 약 471만명의 회원을 바탕으로 드라마, 예능, 라디오, 연예뉴스 등의 콘텐츠와 연계된 온라인 광고사업, 프로모션 사업 등을 운영하고 있음. 종속회사인 아이포터는 고객이 해외 쇼핑몰에서 주문한 상품을 해외 배송부터 통관까지 대행해 주는 국제배송대행 사업을 진행하고 있음.",545,KOSDAQ
036620,감성코퍼레이션,기타 전문 도매업,"1991년 아이오시스템을 시작으로 하여 1994년 버추얼아이오시스템으로 법인전환 하였음. 의류사업부문의 의류, 가방, 용품등 판매와 모바일사업부문의 보조배터리 등 휴대폰 주변기기 판매를 주요사업으로 영위하고 있음. 의류 사업 부문은 '스노우파크 어패럴'을 보유함. 의류, 신발 등을 제조, 유통함. 모바일 사업 부문은 '엑티몬'을 보유하고 있으며, 보조배터리, 충전기류, 스피커, 케이블 등 휴대폰 악세사리 등을 판매함.",2731,KOSDAQ
094480,갤럭시아머니트리,소프트웨어 개발 및 공급업,"동사는 전자지급결제를 위한 결제 전문 대행사임. 휴대폰결제와신용카드결제 등의 '전자결제사업', 모바일 상품권과 쿠폰, 편의점 기반 결제와 전자민원캐시가 중심이 되는 'O2O사업', 그리고 간편결제 플랫폼인 '머니트리'를 중심으로 한 '기타신규사업'을 영위함. 기타 신규사업으로 분류하는 '머니트리' 어플리케이션은 각종 포인트, 상품권 등을 캐시로 교환하여 ATM인출, 송금, 지로 수납, 온ㆍ오프라인 간편결제 등을 할 수 있음.",3280,KOSDAQ
215000,골프존,소프트웨어 개발 및 공급업,"동사는 2015년 3월, (구)골프존이 지주회사 체제로 전환하기 위해 분할하면서 스크린골프사업부문을 이관 받아 신규 설립된 사업회사임. 본사를 거점으로 국내 3개 법인 및 해외 13개 법인 등 동종업종을 영위하는 종속회사로 구성되어 있음. 사업부문별로 보면 스크린골프방, 실내골프연습장 등 골프 시뮬레이터를 활용한 스크린골프 사업과 A/S, 매장운영 지원, 자재판매 등의 서비스를 제공하는 스크린골프 유지보수사업이 있음.",4223,KOSDAQ
121440,골프존뉴딘홀딩스,상품 중개업,"동사는 다른 회사의 주식을 소유함으로써 그 회사를 지배하는 것을 사업목적으로 영위하는 지주회사이며 주요 수익은 브랜드로열티 수익, 경영자문수익, 임대수익, 지분법이익 등이 있음. 골프용품사업은 자회사 (주)골프존커머스를 통해 골프유통사업을 주 사업으로 영위하고 있음. 골프존커머스는 판매채널에 따라 오프라인(골프존마켓, 트루핏, 중고매장)과 온라인 사업(골프존마켓, 골핑, 오픈마켓)으로 구성되어 있음.",1476,KOSDAQ
035080,그래디언트,무점포 소매업,"1997년 10월 1일 설립되었으며, 1999년 7월 5일 코스닥시장에 상장하였음. 독점규제 및 공정거래에 관한 법률에 따른 지주회사는 아니나 자회사에 대한 지원 및 관리사업을 영위하고 있으며, MRO(산업용소모자재) 전자상거래 사업을 영위하는 아이마켓코리아를 종속회사로 포함하고 있음. 동사의 사업부문은 계열회사를 총괄 관리 및 지원하는 지주사업, 전자상거래업, 바이오헬스케어사업, 기타사업으로 분류할 수 있음.",2011,KOSDAQ
204020,그리티,봉제의복 제조업,"글로벌 라이프스타일 기업으로 다양한 이너웨어 및 프리미엄 애슬레저웨어를 판매함. 세계 최대 언더웨어 업체인 미국  HBI(HANES BRANDS Inc.)사의 '원더브라', '플레이텍스', '저스트 마이 사이즈' 등 유명 브랜드를 국내에 성공적으로 전개 자사 대표 브랜드인 감탄브라를 비롯해 원더브라, 플레이텍스, 르페 전용 쇼핑몰과 바디&홈웨어 온라인 플랫폼 준앤줄라이, 애슬레저 브랜드 위뜨 쇼핑몰을 자체 운영하고 있음.",582,KOSDAQ
049080,기가레인,전자부품 제조업,"2000년 설립되어 반도체 장비 제조업을 영위하고 있으며, 합병 후 RF통신부품 및 반도체 장비 제조사업을 주요 사업으로 영위하고 있음. 동사의 RF통신부품은 주요 모바일 기기 및 기지국장비에 사용되고 있으며, 동사의 반도체 장비는 LED 등 반도체 제작 공정에 사용되고 있음. 모바일 기기용 RF 동축 케이블 조립체 부품은 동사의 연결회사가 최초로 국산화에 성공한 부품으로 현재까지도 국내 유일 공급사의 지위를 확보하고 있음.",527,KOSDAQ
121600,나노신소재,기타 화학제품 제조업,"디스플레이, 반도체, 이차전지, 태양전지 등의 첨단소재 제조업을 목적으로 하고 있음. 원재료인 금속 또는 비금속 Metal을 구입하여 초미립 나노 분말로 합성하고 이를 다시 고체인 Target 형태나 Paste/Sol/Slurry 형태의 액상으로 제품화할 수 있는 기술력을 확보함. 디스플레이 패널시장 및 태양전지 시장, 반도체 CMP공정에 투입되는 소재 제조 그리고 이차전지 전극에 적용되는 CNT도전재를 주요 사업으로 영위함.",7891,KOSDAQ
168330,내츄럴엔도텍,자연과학 및 공학 연구개발업,"동사는 2001년 5월 24일에 물리, 화학 및 생물학 연구개발업을 주요사업 목적으로 설립되었으며, 2013년 10월 31일 기업공개를 실시함. 동사는 유전자 백터 설계기술 등 유효물질을 탐색하는 첨단 기술에 기반을 두고, 천연물 신약, 건강기능식품 신소재, 화장품 연구개발 및 제조, 판매를 주력사업으로 하고 있음. 제품의 강력한 효과의 우위성과 특허를 통한 높은 진입장벽을 경쟁력으로, 판매 다각화와 글로벌 시장을 공략 중임.",425,KOSDAQ
348210,넥스틴,특수 목적용 기계 제조업,"동사는 전공정(Front-end Process)반도체 소자의 회로 제작 공정에서 발생하는 미소 패턴 결함을 검출하는 웨이퍼 미소 패턴 결함 검사 장비를 제조 및 판매함. 동사가 제조하는 검사장비는 미소 패턴 결함(Pattern Defect)과 이물(Particle)을 광학 이미지 비교방식으로 검출하는 장비임. 또한, 국내 및 해외 메모리 소자 업체와 비메모리 소자 업체 등 다양한 판매처를 확보하였음.",5939,KOSDAQ
234690,녹십자웰빙,의약품 제조업,"동사는 태반주사제인 라이넥을 중심으로 비타민, 항산화 등 다양한 품목군의 영양주사제를 제조 및 판매하고 있음. 병의원용 건강기능식품 브랜드인 'Dr.PNT'를 시장에 선보이며 개인맞춤형영양치료 기반의 다양한 헬스케어 솔루션을 공급함. 연구중인 천연물 의약품 GCWB204는 항암시장을 타겟으로 유럽에서 투약 완료하였으며, 국내 천연물 전문 제약회사에 라이선스아웃하여 후속 연구개발을 진행하고 있음.",1596,KOSDAQ
144960,뉴파워프라즈마,특수 목적용 기계 제조업,"반도체 ,디스플레이 산업의 박막공정 및 식각공정 장비에서 사용 중인 RPG와 Plasma 발생 전원 공급 모듈을 제조함. 삼성전자와 SK 하이닉스에 공급하는 장비 회사에 제품을 공급, 디스플레이 부분은 대용량 RPG 및  RF 전원장치 모듈 제품을 국내 End User에 공급하는 장비회사에 공급함. '나로호'의 페어링(복합재 구조체) 및 단열재를 성공적으로 제작 완료하는 등 대한민국 우주개발의 일익을 담당하고 있음.",1962,KOSDAQ
078140,대봉엘에스,의약품 제조업,"동사는 1986년 설립 이래 쌓아온 아미노산 제조관련 핵심기술을 바탕으로 원가 및 품질경쟁력을 갖춘 업체로 원료의약품, 화장품소재, 식품첨가물 원료등을 제조 공급하고 있음. 원료의약품분야로 호흡기, 고혈압, 소화기, 고지혈증 치료제 및 아미노산 유도체를 취급하고 있으며 특히 고혈압 치료제, 호흡기 치료제 분야에 강점을 가짐. 천연화장품 COSMOS 인증을 37개 품목 완료, RSPO 정식인증 제품 유통 라이선스도 획득하였음.",1696,KOSDAQ
478780,대신밸런스제18호스팩,금융 지원 서비스업,정보 없음,161,KOSDAQ
010170,대한광통신,절연선 및 케이블 제조업,"동사는 국내 유일 광섬유-광케이블 일관생산체제를 갖춘 업체로서 통신 및 전력 케이블 제조업을 영위하고 있음. 신시장, 신기술 개발과 함께 국가 중요산업 육성의 일환인 소재부품장비 사업과 특수광사업을 확대해 나가고 있음. 통신사업은  해외 Major 광케이블과 국내외 광케이블의 주요 수요자인 통신사업자에게 직접 판매하고 있으며 일부 민수시장의 경우 대리점을 이용하여 판매함.",555,KOSDAQ
